,Unnamed: 0.1,Unnamed: 0,id,found,title,author_x,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,bookLabel,authorLast,book,author_y,birthYear_x,authorLabel_x,book_QN,author_QN,index,birthYear_y,workLabel,authorLabel_y,genderLabel,citizenshipLabel,religionLabel,nativeLanguageLabel,PublicationYear,deathYear,deathYearMatch,,
0,0,0,PG10002,1,The House on the Borderland,"Hodgson, William Hope",1877,1918,['en'],824,{'Science fiction'},,The House on the Borderland,Hodgson,http://www.wikidata.org/entity/Q740473,http://www.wikidata.org/entity/Q919277,1877,William Hope Hodgson,Q740473,Q919277,0,1877,The House on the Borderland,William Hope Hodgson,male,United Kingdom of Great Britain and Ireland,,,1908,1918,1,,
1,1,1,PG10005,"1, when only first half of the title","A Voyage to the Moon: With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians","Tucker, George",1775,1861,['en'],42,"{'Space flight to the moon -- Fiction', 'Science fiction'}",,A Voyage to the Moon,Tucker,http://www.wikidata.org/entity/Q20543676,http://www.wikidata.org/entity/Q1508382,1775,George Tucker,Q20543676,Q1508382,0,1775,A Voyage to the Moon,George Tucker,male,United States of America,,,1827,1861,1,,
2,2,2,PG10008,1,The Mystery,"Adams, Samuel Hopkins",1871,1958,['en'],27,{'Science fiction'},,The Mystery,Adams,http://www.wikidata.org/entity/Q95981569,http://www.wikidata.org/entity/Q185406,1871,Samuel Hopkins Adams,Q95981569,Q185406,0,1871,The Mystery,Samuel Hopkins Adams,male,United States of America,,,1907,1958,1,,
3,3,4,PG10055,,Hamburgische Dramaturgie,"Lessing, Gotthold Ephraim",1729,1781,['de'],57,"{'Drama -- Technique', 'Aristotle, 384 BC-322 BC. Poetics'}",,Hamburgische Dramaturgie,Lessing,http://www.wikidata.org/entity/Q53585,http://www.wikidata.org/entity/Q34628,1729,Gotthold Ephraim Lessing,Q53585,Q34628,0,1729,Hamburgische Dramaturgie,Gotthold Ephraim Lessing,male,Electorate of Saxony,Christianity,German,1769,1781,1,,
4,4,5,PG10059,,Aunt Jane's Nieces on Vacation,"Baum, L. Frank (Lyman Frank)",1856,1919,['en'],24,"{'Mystery and detective stories', 'Young women -- Social life and customs -- Juvenile fiction', 'Women authors -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Family -- Juvenile fiction', 'Newspaper publishing -- Juvenile fiction', 'Farm life -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces on Vacation,Baum,http://www.wikidata.org/entity/Q16385081,http://www.wikidata.org/entity/Q207544,1856,L. Frank Baum,Q16385081,Q207544,0,1856,Aunt Jane's Nieces on Vacation,L. Frank Baum,male,United States of America,,English,1912,1919,1,,
5,5,6,PG10084,,Kazan,"Curwood, James Oliver",1878,1927,['en'],98,"{'Wolfdogs -- Fiction', 'Dogs -- Fiction'}",,Kazan,Curwood,http://www.wikidata.org/entity/Q3497638,http://www.wikidata.org/entity/Q468156,1878,James Oliver Curwood,Q3497638,Q468156,0,1878,Kazan,James Oliver Curwood,male,United States of America,,,1914,1927,1,2523,male
6,6,222,PG72127,,Kazan,"Curwood, James Oliver",1878,1927,['fr'],1034,"{'Wolfdogs -- Fiction', 'Dogs -- Fiction'}",,Kazan,Curwood,http://www.wikidata.org/entity/Q3497638,http://www.wikidata.org/entity/Q468156,1878,James Oliver Curwood,Q3497638,Q468156,0,1878,Kazan,James Oliver Curwood,male,United States of America,,,1914,1927,1,512,female
7,7,7,PG10123,,Aunt Jane's Nieces,"Baum, L. Frank (Lyman Frank)",1856,1919,['en'],35,"{'Families -- Economic aspects -- Juvenile fiction', 'Family -- Juvenile fiction', 'Aunts -- Juvenile fiction', 'Inheritance and succession -- Juvenile fiction', 'Young women -- Juvenile fiction', 'Cousins -- Juvenile fiction'}",,Aunt Jane's Nieces,Baum,http://www.wikidata.org/entity/Q4821956,http://www.wikidata.org/entity/Q207544,1856,L. Frank Baum,Q4821956,Q207544,0,1856,Aunt Jane's Nieces,L. Frank Baum,male,United States of America,,English,1906,1919,1,,
8,8,8,PG10124,,Aunt Jane's Nieces and Uncle John,"Baum, L. Frank (Lyman Frank)",1856,1919,['en'],40,"{'California -- Juvenile fiction', 'Cousins -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Family -- Juvenile fiction', 'Western stories', 'Brigands and robbers -- Juvenile fiction', 'West (U.S.) -- Juvenile fiction', 'Young women -- Juvenile fiction', 'Rocky Mountains -- Description and travel -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction'}",,Aunt Jane's Nieces and Uncle John,Baum,http://www.wikidata.org/entity/Q4821962,http://www.wikidata.org/entity/Q207544,1856,L. Frank Baum,Q4821962,Q207544,0,1856,Aunt Jane's Nieces and Uncle John,L. Frank Baum,male,United States of America,,English,1911,1919,1,,
9,9,9,PG1013,,The First Men in the Moon,"Wells, H. G. (Herbert George)",1866,1946,['en'],168,"{'Utopian fiction', 'Satire', 'Science fiction', 'Imperialism -- Fiction', 'Utopias -- Fiction', 'Space flight to the moon -- Fiction', 'Moon -- Fiction'}",,The First Men in the Moon,Wells,http://www.wikidata.org/entity/Q1218232,http://www.wikidata.org/entity/Q42511,1866,H. G. Wells,Q1218232,Q42511,0,1866,The First Men in the Moon,H. G. Wells,male,United Kingdom,,English,1901,1946,1,,
10,10,665,PG52501,,The First Men in the Moon,"Wells, H. G. (Herbert George)",1866,1946,['en'],239,"{'Utopian fiction', 'Satire', 'Science fiction', 'Imperialism -- Fiction', 'Utopias -- Fiction', 'Space flight to the moon -- Fiction', 'Moon -- Fiction'}",,The First Men in the Moon,Wells,http://www.wikidata.org/entity/Q1218232,http://www.wikidata.org/entity/Q42511,1866,H. G. Wells,Q1218232,Q42511,0,1866,The First Men in the Moon,H. G. Wells,male,United Kingdom,,English,1901,1946,1,,
11,11,924,PG8972,,The First Men in the Moon,"Wells, H. G. (Herbert George)",1866,1946,['en'],9,"{'Utopian fiction', 'Satire', 'Science fiction', 'Utopias -- Fiction', 'Space flight to the moon -- Fiction'}",,The First Men in the Moon,Wells,http://www.wikidata.org/entity/Q1218232,http://www.wikidata.org/entity/Q42511,1866,H. G. Wells,Q1218232,Q42511,0,1866,The First Men in the Moon,H. G. Wells,male,United Kingdom,,English,1901,1946,1,,
